id,lat,long,dist,stream,hydro,site,TP,PP,TDP,DRP,DOP
1,40.33435765,-111.3794539,9.11,M,Rise,MC01,0.012,0.002,0.01,0,0.01
2,40.35729228,-111.394846,12.1,M,Rise,MC02,0.011,0.011,0,0,0
3,40.36984777,-111.4035923,13.8,M,Rise,MC03,0.02,0.008,0.012,0,0.012
4,40.37932339,-111.4215613,15.9,M,Rise,MC04,dry,dry,dry,dry,dry
5,40.38604147,-111.4347176,17.5,M,Rise,MC05,0.018,0.009,0.009,0.005,0.004
6,40.39472968,-111.4455208,19.6,M,Rise,MC06,0.047,0.024,0.023,0.013,0.01
7,40.4018619,-111.459279,21.8,M,Rise,MC07,0.086,0.045,0.041,0.018,0.023
8,40.40413866,-111.4654134,22.4,M,Rise,MC08,0.128,0.073,0.055,0.029,0.026
9,40.40631407,-111.4723729,23.2,M,Rise,MC09,0.13,0.078,0.052,0.041,0.012
10,40.40965002,-111.4784938,24,M,Rise,MC10,0.08,0.031,0.049,0.027,0.022
11,40.34323751,-111.4098996,5.53,L,Rise,LHC01,0.011,0.011,0,0,0
12,40.36189332,-111.4079966,8,L,Rise,LHC03,0.013,0.008,0.005,0,0.005
13,40.37567584,-111.4246417,10.4,L,Rise,LHC04,0.038,0.012,0.025,0.006,0.019
14,40.34765666,-111.4028916,6.58,L,Rise,LHC02,0.027,0.015,0.012,0.012,0
15,40.38636757,-111.4226418,0.12,S,Rise,SC01,0.032,0.002,0.03,0.028,0.002
16,40.38997727,-111.4316945,1.11,S,Rise,SC03,0.047,0.008,0.039,0.024,0.015
17,40.39821756,-111.4380473,2.37,S,Rise,SC04,0.063,0.03,0.033,0.019,0.014
18,40.40197848,-111.4505074,4.13,S,Rise,SC06,0.043,0.008,0.035,0.017,0.019
19,40.40300907,-111.4591105,5.17,S,Rise,SC07,0.133,0.064,0.07,0.04,0.03
20,40.33435765,-111.3794539,9.11,M,Peak,MC01,0.06,0.027,0.033,0,0.033
21,40.35729228,-111.394846,12.1,M,Peak,MC02,dry,dry,dry,dry,dry
22,40.36984777,-111.4035923,13.8,M,Peak,MC03,0.065,0.026,0.039,0.008,0.031
23,40.37932339,-111.4215613,15.9,M,Peak,MC04,dry,dry,dry,dry,dry
24,40.38604147,-111.4347176,17.5,M,Peak,MC05,0.108,0.034,0.074,0.062,0.011
25,40.39472968,-111.4455208,19.6,M,Peak,MC06,0.07,0.032,0.038,0.021,0.017
26,40.4018619,-111.459279,21.8,M,Peak,MC07,0.054,0.012,0.041,0.026,0.016
27,40.40413866,-111.4654134,22.4,M,Peak,MC08,0.087,0.04,0.047,0.028,0.019
28,40.40631407,-111.4723729,23.2,M,Peak,MC09,0.083,0.042,0.041,0.021,0.02
29,40.40965002,-111.4784938,24,M,Peak,MC10,0.053,0.025,0.028,0.019,0.009
30,40.34323751,-111.4098996,5.53,L,Peak,LHC01,0.223,0.107,0.116,0,0.116
31,40.36189332,-111.4079966,8,L,Peak,LHC03,0.025,0.009,0.016,0.007,0.009
32,40.37567584,-111.4246417,10.4,L,Peak,LHC04,0.06,0.024,0.036,0.014,0.022
33,40.34765666,-111.4028916,6.58,L,Peak,LHC02,0.051,0.021,0.029,0.005,0.025
34,40.38636757,-111.4226418,0.12,S,Peak,SC01,0.055,0.014,0.041,0.037,0.005
35,40.38997727,-111.4316945,1.11,S,Peak,SC03,dry,dry,dry,dry,dry
36,40.39821756,-111.4380473,2.37,S,Peak,SC04,0.056,0.028,0.028,0.012,0.016
37,40.40197848,-111.4505074,4.13,S,Peak,SC06,0.069,0.04,0.029,0.014,0.015
38,40.40300907,-111.4591105,5.17,S,Peak,SC07,0.112,0.068,0.045,0.03,0.015
39,40.33435765,-111.3794539,9.11,M,Base,MC01,0.01,0.01,0,0,0
40,40.35729228,-111.394846,12.1,M,Base,MC02,0.007,0,0.007,0,0.007
41,40.36984777,-111.4035923,13.8,M,Base,MC03,0.012,0.003,0.009,0,0.009
42,40.37932339,-111.4215613,15.9,M,Base,MC04,dry,dry,dry,dry,dry
43,40.38604147,-111.4347176,17.5,M,Base,MC05,0.059,0.034,0.025,0.021,0.003
44,40.39472968,-111.4455208,19.6,M,Base,MC06,0.059,0.018,0.041,0.033,0.007
45,40.4018619,-111.459279,21.8,M,Base,MC07,0.038,0.016,0.022,0.015,0.007
46,40.40413866,-111.4654134,22.4,M,Base,MC08,0.065,0.03,0.035,0.03,0.005
47,40.40631407,-111.4723729,23.2,M,Base,MC09,0.12,0.084,0.037,0.029,0.008
48,40.40965002,-111.4784938,24,M,Base,MC10,0.042,0.02,0.022,0.019,0.003
49,40.34323751,-111.4098996,5.53,L,Base,LHC01,0.103,0.006,0.097,0.087,0.01
50,40.36189332,-111.4079966,8,L,Base,LHC03,0,0,0,0,0
51,40.37567584,-111.4246417,10.4,L,Base,LHC04,0.031,0.005,0.026,0.017,0.01
52,40.34765666,-111.4028916,6.58,L,Base,LHC02,0.029,0.015,0.014,0.01,0.004
53,40.38636757,-111.4226418,0.12,S,Base,SC01,0.028,0.003,0.025,0.024,0.001
54,40.38997727,-111.4316945,1.11,S,Base,SC03,0.03,0.004,0.026,0.024,0.002
55,40.39821756,-111.4380473,2.37,S,Base,SC04,0.119,0.098,0.021,0.017,0.004
56,40.40197848,-111.4505074,4.13,S,Base,SC06,0.029,0.013,0.016,0.012,0.004
57,40.40300907,-111.4591105,5.17,S,Base,SC07,0.089,0.036,0.053,0.045,0.008
