id,lat,long,dist,stream,hydro,site,ls
1,40.33435765,-111.3794539,9.11,M,Rise,MC01,42.2
2,40.35729228,-111.394846,12.1,M,Rise,MC02,13
3,40.36984777,-111.4035923,13.8,M,Rise,MC03,38.7
4,40.37932339,-111.4215613,15.9,M,Rise,MC04,0
5,40.38604147,-111.4347176,17.5,M,Rise,MC05,79
6,40.39472968,-111.4455208,19.6,M,Rise,MC06,59.2
7,40.4018619,-111.459279,21.8,M,Rise,MC07,94.7
8,40.40413866,-111.4654134,22.4,M,Rise,MC08,236.2
9,40.40631407,-111.4723729,23.2,M,Rise,MC09,245.4
10,40.40965002,-111.4784938,24,M,Rise,MC10,320.7
11,40.34323751,-111.4098996,5.53,L,Rise,LHC01,39.1
12,40.36189332,-111.4079966,8,L,Rise,LHC03,46
13,40.37567584,-111.4246417,10.4,L,Rise,LHC04,29
14,40.34765666,-111.4028916,6.58,L,Rise,LHC02,1.1
15,40.38636757,-111.4226418,0.12,S,Rise,SC01,76.9
16,40.38997727,-111.4316945,1.11,S,Rise,SC03,44.5
17,40.39821756,-111.4380473,2.37,S,Rise,SC04,40.6
18,40.40197848,-111.4505074,4.13,S,Rise,SC06,179.5
19,40.40300907,-111.4591105,5.17,S,Rise,SC07,181.8
20,40.33435765,-111.3794539,9.11,M,Peak,MC01,316.7
21,40.35729228,-111.394846,12.1,M,Peak,MC02,0
22,40.36984777,-111.4035923,13.8,M,Peak,MC03,31.4
23,40.37932339,-111.4215613,15.9,M,Peak,MC04,0
24,40.38604147,-111.4347176,17.5,M,Peak,MC05,27
25,40.39472968,-111.4455208,19.6,M,Peak,MC06,7.6
26,40.4018619,-111.459279,21.8,M,Peak,MC07,86.9
27,40.40413866,-111.4654134,22.4,M,Peak,MC08,109.9
28,40.40631407,-111.4723729,23.2,M,Peak,MC09,140
29,40.40965002,-111.4784938,24,M,Peak,MC10,224.8
30,40.34323751,-111.4098996,5.53,L,Peak,LHC01,67.1
31,40.36189332,-111.4079966,8,L,Peak,LHC03,46.7
32,40.37567584,-111.4246417,10.4,L,Peak,LHC04,31.1
33,40.34765666,-111.4028916,6.58,L,Peak,LHC02,14.7
34,40.38636757,-111.4226418,0.12,S,Peak,SC01,54.4
35,40.38997727,-111.4316945,1.11,S,Peak,SC03,0
36,40.39821756,-111.4380473,2.37,S,Peak,SC04,18.7
37,40.40197848,-111.4505074,4.13,S,Peak,SC06,53.9
38,40.40300907,-111.4591105,5.17,S,Peak,SC07,54.5
39,40.33435765,-111.3794539,9.11,M,Base,MC01,42.7
40,40.35729228,-111.394846,12.1,M,Base,MC02,2.8
41,40.36984777,-111.4035923,13.8,M,Base,MC03,5.6
42,40.37932339,-111.4215613,15.9,M,Base,MC04,0
43,40.38604147,-111.4347176,17.5,M,Base,MC05,1.1
44,40.39472968,-111.4455208,19.6,M,Base,MC06,8.2
45,40.4018619,-111.459279,21.8,M,Base,MC07,13.9
46,40.40413866,-111.4654134,22.4,M,Base,MC08,18.1
47,40.40631407,-111.4723729,23.2,M,Base,MC09,18.1
48,40.40965002,-111.4784938,24,M,Base,MC10,65
49,40.34323751,-111.4098996,5.53,L,Base,LHC01,20.9
50,40.36189332,-111.4079966,8,L,Base,LHC03,10.9
51,40.37567584,-111.4246417,10.4,L,Base,LHC04,1.5
52,40.34765666,-111.4028916,6.58,L,Base,LHC02,1.7
53,40.38636757,-111.4226418,0.12,S,Base,SC01,69
54,40.38997727,-111.4316945,1.11,S,Base,SC03,10.4
55,40.39821756,-111.4380473,2.37,S,Base,SC04,18.1
56,40.40197848,-111.4505074,4.13,S,Base,SC06,30.4
57,40.40300907,-111.4591105,5.17,S,Base,SC07,11.1
