id,lat,long,dist,stream,hydro,site,TP,PP,TDP,DRP,DOP
1,40.33435765,-111.3794539,9.11,M,Rise,MC01,0.537,0.097,0.441,0,0.441
2,40.35729228,-111.394846,12.1,M,Rise,MC02,0.246,0.246,0,0,0
3,40.36984777,-111.4035923,13.8,M,Rise,MC03,0.727,0.263,0.464,0,0.464
4,40.37932339,-111.4215613,15.9,M,Rise,MC04,0,0,0,0,0
5,40.38604147,-111.4347176,17.5,M,Rise,MC05,1.456,0.713,0.744,0.532,0.211
6,40.39472968,-111.4455208,19.6,M,Rise,MC06,3.055,1.983,1.072,0.735,0.337
7,40.4018619,-111.459279,21.8,M,Rise,MC07,8.024,4.213,3.811,1.705,2.106
8,40.40413866,-111.4654134,22.4,M,Rise,MC08,31.919,17.159,14.76,7.402,7.359
9,40.40631407,-111.4723729,23.2,M,Rise,MC09,33.15,19.285,13.865,10.663,3.202
10,40.40965002,-111.4784938,24,M,Rise,MC10,26.946,9.898,17.048,9.091,7.957
11,40.34323751,-111.4098996,5.53,L,Rise,LHC01,0.43,0.43,0,0,0
12,40.36189332,-111.4079966,8,L,Rise,LHC03,0.623,0.435,0.188,0,0.188
13,40.37567584,-111.4246417,10.4,L,Rise,LHC04,1.262,0.441,0.821,0.223,0.598
14,40.34765666,-111.4028916,6.58,L,Rise,LHC02,0.031,0.017,0.014,0.014,0
15,40.38636757,-111.4226418,0.12,S,Rise,SC01,2.412,0.113,2.299,2.148,0.151
16,40.38997727,-111.4316945,1.11,S,Rise,SC03,2.125,0.382,1.743,1.105,0.637
17,40.39821756,-111.4380473,2.37,S,Rise,SC04,2.546,1.22,1.326,0.77,0.555
18,40.40197848,-111.4505074,4.13,S,Rise,SC06,7.774,1.436,6.337,2.962,3.375
19,40.40300907,-111.4591105,5.17,S,Rise,SC07,27.56,10.93,16.63,8.761,7.869
20,40.33435765,-111.3794539,9.11,M,Peak,MC01,21.582,9.786,11.796,0,11.796
21,40.35729228,-111.394846,12.1,M,Peak,MC02,0,0,0,0,0
22,40.36984777,-111.4035923,13.8,M,Peak,MC03,2.68,1.185,1.495,0.376,1.119
23,40.37932339,-111.4215613,15.9,M,Peak,MC04,0,0,0,0,0
24,40.38604147,-111.4347176,17.5,M,Peak,MC05,1.283,0.405,0.878,0.458,0.42
25,40.39472968,-111.4455208,19.6,M,Peak,MC06,0.535,0.247,0.288,0.161,0.128
26,40.4018619,-111.459279,21.8,M,Peak,MC07,4.834,0.527,4.307,2.141,2.166
27,40.40413866,-111.4654134,22.4,M,Peak,MC08,8.103,3.646,4.458,2.732,1.725
28,40.40631407,-111.4723729,23.2,M,Peak,MC09,10.325,5.545,4.779,2.025,2.755
29,40.40965002,-111.4784938,24,M,Peak,MC10,11.956,5.756,6.2,3.713,2.487
30,40.34323751,-111.4098996,5.53,L,Peak,LHC01,9.757,4.601,5.155,0,5.155
31,40.36189332,-111.4079966,8,L,Peak,LHC03,1.399,0.6,0.798,0.004,0.795
32,40.37567584,-111.4246417,10.4,L,Peak,LHC04,1.002,0.21,0.793,0.032,0.76
33,40.34765666,-111.4028916,6.58,L,Peak,LHC02,0.409,0.132,0.277,0.014,0.263
34,40.38636757,-111.4226418,0.12,S,Peak,SC01,2.7,0.607,2.093,1.815,0.278
35,40.38997727,-111.4316945,1.11,S,Peak,SC03,0,0,0,0,0
36,40.39821756,-111.4380473,2.37,S,Peak,SC04,1.089,0.541,0.548,0.234,0.314
37,40.40197848,-111.4505074,4.13,S,Peak,SC06,3.34,2.099,1.241,0.68,0.561
38,40.40300907,-111.4591105,5.17,S,Peak,SC07,5.64,3.694,1.946,1.332,0.614
39,40.33435765,-111.3794539,9.11,M,Base,MC01,0.419,0.419,0,0,0
40,40.35729228,-111.394846,12.1,M,Base,MC02,0.019,0,0.019,0,0.019
41,40.36984777,-111.4035923,13.8,M,Base,MC03,0.067,0.017,0.05,0,0.05
42,40.37932339,-111.4215613,15.9,M,Base,MC04,0,0,0,0,0
43,40.38604147,-111.4347176,17.5,M,Base,MC05,0.057,0.038,0.019,0.015,0.004
44,40.39472968,-111.4455208,19.6,M,Base,MC06,0.557,0.189,0.369,0.334,0.035
45,40.4018619,-111.459279,21.8,M,Base,MC07,0.513,0.221,0.292,0.205,0.087
46,40.40413866,-111.4654134,22.4,M,Base,MC08,1.104,0.654,0.449,0.365,0.084
47,40.40631407,-111.4723729,23.2,M,Base,MC09,2.081,1.516,0.565,0.431,0.134
48,40.40965002,-111.4784938,24,M,Base,MC10,2.878,1.383,1.494,1.271,0.223
49,40.34323751,-111.4098996,5.53,L,Base,LHC01,2.142,0.122,2.02,1.781,0.239
50,40.36189332,-111.4079966,8,L,Base,LHC03,0,0,0,0,0
51,40.37567584,-111.4246417,10.4,L,Base,LHC04,0.047,0.008,0.039,0.025,0.014
52,40.34765666,-111.4028916,6.58,L,Base,LHC02,0.052,0.03,0.021,0.017,0.004
53,40.38636757,-111.4226418,0.12,S,Base,SC01,1.917,0.197,1.72,1.677,0.043
54,40.38997727,-111.4316945,1.11,S,Base,SC03,0.311,0.042,0.27,0.249,0.021
55,40.39821756,-111.4380473,2.37,S,Base,SC04,2.221,1.826,0.395,0.298,0.098
56,40.40197848,-111.4505074,4.13,S,Base,SC06,0.906,0.392,0.514,0.398,0.116
57,40.40300907,-111.4591105,5.17,S,Base,SC07,0.949,0.494,0.455,0.397,0.058
