id,lat,long,site,half,date,season,stream,dist,cfs,ls,tp,pp,tdp,drp,dop,tp,pp,tdp,drp,dop
1,40.33435765,-111.3794539,MC01,Upper,2015-03-12,Winter,M,9.11,1.71,48.4,0.017,0.004,0.013,0.000,0.013,0.82,0.19,0.63,0.00,0.63
2,40.35729228,-111.394846,MC02,Upper,2015-03-12,Winter,M,12.10,0.79,22.4,0.022,0.022,0.000,0.000,0.000,0.49,0.49,0.00,0.00,0.00
3,40.36984777,-111.4035923,MC03,Upper,2015-03-12,Winter,M,13.80,1.24,35.1,0.027,0.015,0.012,0.000,0.012,0.95,0.53,0.42,0.00,0.42
4,40.37932339,-111.4215613,MC04,Upper,2015-03-12,Winter,M,15.90,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
5,40.38604147,-111.4347176,MC05,Upper,2015-03-12,Winter,M,17.50,3.76,106.5,0.020,0.010,0.010,0.010,0.000,2.13,1.06,1.06,1.06,0.00
6,40.39472968,-111.4455208,MC06,Lower,2015-03-12,Winter,M,19.60,3.02,85.5,0.058,0.046,0.012,0.012,0.000,4.96,3.93,1.03,1.03,0.00
7,40.4018619,-111.459279,MC07,Lower,2015-03-12,Winter,M,21.80,3.46,98.0,0.057,0.034,0.023,0.011,0.012,5.58,3.33,2.25,1.08,1.18
8,40.40413866,-111.4654134,MC08,Lower,2015-03-12,Winter,M,22.40,6.50,184.1,0.095,0.074,0.021,0.017,0.004,17.49,13.62,3.87,3.13,0.74
9,40.40631407,-111.4723729,MC09,Lower,2015-03-12,Winter,M,23.20,7.66,216.9,0.086,0.069,0.017,0.015,0.002,18.65,14.97,3.69,3.25,0.43
10,40.40965002,-111.4784938,MC10,Lower,2015-03-12,Winter,M,24.00,9.61,272.1,0.050,0.030,0.020,0.020,0.000,13.61,8.16,5.44,5.44,0.00
11,40.34323751,-111.4098996,LHC01,Upper,2015-03-12,Winter,L,5.53,1.38,39.1,0.011,0.011,0.000,0.000,0.000,0.43,0.43,0.00,0.00,0.00
12,40.36189332,-111.4079966,LHC03,Upper,2015-03-12,Winter,L,8.00,1.92,54.4,0.016,0.016,0.000,0.000,0.000,0.87,0.87,0.00,0.00,0.00
13,40.37567584,-111.4246417,LHC04,Upper,2015-03-12,Winter,L,10.40,1.31,37.1,0.059,0.023,0.036,0.012,0.024,2.19,0.85,1.34,0.45,0.89
14,40.34765666,-111.4028916,LHC02,Upper,2015-03-12,Winter,L,6.58,0.04,1.1,0.027,0.015,0.012,0.012,0.000,0.03,0.02,0.01,0.01,0.00
15,40.38636757,-111.4226418,SC01,Lower,2015-03-12,Winter,S,0.12,2.66,75.3,0.038,0.003,0.035,0.031,0.004,2.86,0.23,2.64,2.34,0.30
16,40.38997727,-111.4316945,SC03,Lower,2015-03-12,Winter,S,1.11,1.66,47.0,0.056,0.016,0.040,0.039,0.001,2.63,0.75,1.88,1.83,0.05
17,40.39821756,-111.4380473,SC04,Lower,2015-03-12,Winter,S,2.37,1.42,40.2,0.067,0.037,0.030,0.023,0.007,2.69,1.49,1.21,0.92,0.28
18,40.40197848,-111.4505074,SC06,Lower,2015-03-12,Winter,S,4.13,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access
19,40.40300907,-111.4591105,SC07,Lower,2015-03-12,Winter,S,5.17,3.53,100.0,0.092,0.071,0.021,0.021,0.000,9.20,7.10,2.10,2.10,0.00
20,40.33435765,-111.3794539,MC01,Upper,2015-05-06,Spring,M,9.11,13.36,378.3,0.100,lost,lost,0.000,lost,37.83,lost,lost,0.00,lost
21,40.35729228,-111.394846,MC02,Upper,2015-05-06,Spring,M,12.10,0.00,0.0,dry,lost,lost,dry,lost,0.00,lost,lost,0.00,lost
22,40.36984777,-111.4035923,MC03,Upper,2015-05-06,Spring,M,13.80,1.61,45.6,0.110,lost,lost,0.017,lost,5.01,lost,lost,0.75,lost
23,40.37932339,-111.4215613,MC04,Upper,2015-05-06,Spring,M,15.90,0.00,0.0,dry,lost,lost,dry,lost,0.00,lost,lost,0.00,lost
24,40.38604147,-111.4347176,MC05,Upper,2015-05-06,Spring,M,17.50,0.26,7.4,0.190,lost,lost,0.125,lost,1.40,lost,lost,0.92,lost
25,40.39472968,-111.4455208,MC06,Lower,2015-05-06,Spring,M,19.60,0.27,7.6,0.070,lost,lost,0.021,lost,0.54,lost,lost,0.16,lost
26,40.4018619,-111.459279,MC07,Lower,2015-05-06,Spring,M,21.80,1.29,36.5,0.050,lost,lost,0.027,lost,1.83,lost,lost,0.99,lost
