id,lat,long,site,half,date,season,stream,dist,cfs,ls,TP,PP,TDP,DRP,DOP
1,40.33435765,-111.3794539,MC01,Upper,2015-03-12,Winter,M,9.11,1.71,48.4,0.82,0.19,0.63,0,0.63
2,40.35729228,-111.394846,MC02,Upper,2015-03-12,Winter,M,12.1,0.79,22.4,0.49,0.49,0,0,0
3,40.36984777,-111.4035923,MC03,Upper,2015-03-12,Winter,M,13.8,1.24,35.1,0.95,0.53,0.42,0,0.42
4,40.37932339,-111.4215613,MC04,Upper,2015-03-12,Winter,M,15.9,0,0,0,0,0,0,0
5,40.38604147,-111.4347176,MC05,Upper,2015-03-12,Winter,M,17.5,3.76,106.5,2.13,1.06,1.06,1.06,0
6,40.39472968,-111.4455208,MC06,Lower,2015-03-12,Winter,M,19.6,3.02,85.5,4.96,3.93,1.03,1.03,0
7,40.4018619,-111.459279,MC07,Lower,2015-03-12,Winter,M,21.8,3.46,98,5.58,3.33,2.25,1.08,1.18
8,40.40413866,-111.4654134,MC08,Lower,2015-03-12,Winter,M,22.4,6.5,184.1,17.49,13.62,3.87,3.13,0.74
9,40.40631407,-111.4723729,MC09,Lower,2015-03-12,Winter,M,23.2,7.66,216.9,18.65,14.97,3.69,3.25,0.43
10,40.40965002,-111.4784938,MC10,Lower,2015-03-12,Winter,M,24,9.61,272.1,13.61,8.16,5.44,5.44,0
11,40.34323751,-111.4098996,LHC01,Upper,2015-03-12,Winter,L,5.53,1.38,39.1,0.43,0.43,0,0,0
12,40.36189332,-111.4079966,LHC03,Upper,2015-03-12,Winter,L,8,1.92,54.4,0.87,0.87,0,0,0
13,40.37567584,-111.4246417,LHC04,Upper,2015-03-12,Winter,L,10.4,1.31,37.1,2.19,0.85,1.34,0.45,0.89
14,40.34765666,-111.4028916,LHC02,Upper,2015-03-12,Winter,L,6.58,0.04,1.1,0.03,0.02,0.01,0.01,0
15,40.38636757,-111.4226418,SC01,Lower,2015-03-12,Winter,S,0.12,2.66,75.3,2.86,0.23,2.64,2.34,0.3
16,40.38997727,-111.4316945,SC03,Lower,2015-03-12,Winter,S,1.11,1.66,47,2.63,0.75,1.88,1.83,0.05
17,40.39821756,-111.4380473,SC04,Lower,2015-03-12,Winter,S,2.37,1.42,40.2,2.69,1.49,1.21,0.92,0.28
18,40.40197848,-111.4505074,SC06,Lower,2015-03-12,Winter,S,4.13,no_access,no_access,no_access,no_access,no_access,no_access,no_access
19,40.40300907,-111.4591105,SC07,Lower,2015-03-12,Winter,S,5.17,3.53,100,9.2,7.1,2.1,2.1,0
20,40.33435765,-111.3794539,MC01,Upper,2015-05-06,Spring,M,9.11,13.36,378.3,37.83,lost,lost,0,lost
21,40.35729228,-111.394846,MC02,Upper,2015-05-06,Spring,M,12.1,0,0,0,lost,lost,0,lost
22,40.36984777,-111.4035923,MC03,Upper,2015-05-06,Spring,M,13.8,1.61,45.6,5.01,lost,lost,0.75,lost
23,40.37932339,-111.4215613,MC04,Upper,2015-05-06,Spring,M,15.9,0,0,0,lost,lost,0,lost
24,40.38604147,-111.4347176,MC05,Upper,2015-05-06,Spring,M,17.5,0.26,7.4,1.4,lost,lost,0.92,lost
25,40.39472968,-111.4455208,MC06,Lower,2015-05-06,Spring,M,19.6,0.27,7.6,0.54,lost,lost,0.16,lost
