DATE,DO,CFS,DRP,TRP,PH,TDP,TP,CONDUCTANCE,TEMP,TSS,TURBIDITY
1984-01-24,9.7,12.3,,0.06,,,0.14,449,3.1,39,
1984-03-27,11,43.3,,0.08,7.9,,0.11,450,3.8,81,
1984-04-26,10.9,78.7,,0.07,8.1,,0.08,280,3,90,
1984-05-10,8.3,105.3,,0.19,8.35,,0.37,207,12.1,238,
1984-05-23,9.5,263,,0.01,7.75,,0.18,166,5,91,
1984-06-20,9.3,46.8,,0.03,7.95,,0.08,366,12.6,15,
1984-07-26,7.6,12,,0.01,8.35,,0.28,533,20.9,13,
1984-08-21,,,,0.08,8.1,,0.11,,,9,
1984-09-19,6.7,17.6,,0.06,8.15,,0.06,524,16.1,65,
1984-10-24,9.7,81.6,,0.04,7.4,,0.09,458,5.4,19,
1985-01-17,8,,,0.09,7.1,,0.12,490,0.8,112,
1985-03-21,,60.5,,0.061,7.8,,0.122,337.5,5,210,27
1985-04-04,10.7,124,,0.057,7.5,,0.453,321,3.5,220,
1985-04-18,0.2,316,,0.032,7.6,,0.211,107.95,10.7,250,
1985-05-02,4.1,179,,0.036,7.95,,0.126,111.5,5.5,144,
1985-05-16,,104,,0.034,8,,0.081,252,7.2,62,
1985-05-30,11,45,,0.031,8,,0.061,292,7.1,1.5,
1985-06-13,9.1,11.3,,0.0345,7.95,,0.038,388.5,11.7,,
1985-07-11,,8.8,,0.068,8,,0.084,541,18.5,,
1985-08-15,7.1,9,,0.033,7.75,,0.046,393.5,12,20,
1985-09-10,8.7,11,,0.0555,8.05,,0.055,597.5,11.3,13,
1985-10-15,8.8,18,,0.0325,7.95,,0.0385,558.5,5.7,21,
1985-12-02,9.8,31,,0.0435,8.25,,0.056,554.3333,5.8,29,
1986-01-16,10.2,22,,0.053,7.9,,0.068,511.3333,4.6,9,
1986-02-20,10,156,,,8.2,,,341,3.8,150,
1986-03-20,10.2,55,,0.038,7.75,,0.046,292.5,3.8,7,
1986-04-15,8.8,78,,,8.2,,,298,12,19,
1986-04-16,,78,,0.019,7.9,,0.059,289,12,,
1986-05-01,8.5,145,,0.021,8.15,,0.088,225,13.3,37,
1986-05-12,9.2,88.75,,0.016,7.95,,0.025,244,7,1.5,
1986-05-28,7.5,220,,0.02,7.8,,0.137,154.5,11.4,72,
1986-06-23,7.3,20,,0.03,7.95,,0.041,337,22.4,1.5,
1986-07-14,5.7,10,,0.042,8,,0.066,386.5,14.8,4,
1986-08-13,7.3,12,,0.041,8.05,,0.073,533,13.2,10,
1986-09-09,7.1,11,,0.038,7.9,,0.044,513,15,3,
1986-10-15,10,25,,0.039,7.8,,0.052,518.5,6.2,3,
1986-11-13,10.6,22,,0.041,7.9,,0.063,543.5,4,13,
1986-12-16,11.5,12.8,,0.043,8,,0.06,525,3.7,14,
1987-01-07,10.7,12.1,,0.041,8,,0.051,471,1.2,11,
1987-02-12,8.3,20,,0.04,8.05,,0.08,489.5,5.8,28,
1987-03-11,8.6,20.3,,0.037,8.1,,0.0705,478.5,4.8,,
1987-04-08,9,27,,0.035,8.2,,0.06,469.5,13.3,,
1987-05-06,6.7,9.5,,0.068,8.0333,,0.092,512,19.3,,
1987-06-03,7.2,10,,0.0375,7.85,,0.0445,502.5,11.6,,
1987-07-08,6.8,14.5,,0.04,8.05,,0.06,505.5,19.3,7,2.1
1987-08-11,7,15,,0.04,7.7,,0.05,515,17.1,6,3.1
1987-09-16,6.5,9,,0.04,7.85,,0.07,538.5,14.4,6,1
1987-10-14,6.4,10.5,,0.1,7.95,,0.11,632.5,10,10,3.9
1987-11-09,9.6,15,,0.06,8.15,,0.06,554,9.8,14,
1987-12-08,9.8,15,,0.06,8.05,,0.07,538.5,2.4,1.5,
1988-01-25,9.8,15,,0.03,8,,0.08,492,4,1.5,
1988-02-17,7,13,0.07,,7.5,,0.07,457,1,1.5,
1988-03-22,7.5,21,,,7.95,,0.05,441,10.9,1.5,
1988-04-12,7.9,15,0.08,,7.5,,0.05,133,7.6,1.5,
1988-04-26,10.2,23,0.03,0.01,7.85,,0.02,430,4.1,1.5,
1988-05-10,8.5,12,0.02,,7.8,,0.05,465,8.2,1.5,
1988-05-24,8.7,5.5,0.08,0.1,7.8,,0.13,490,12.4,1.5,
1988-06-07,7.7,7,0.02,0.05,7.6,,0.07,500,12.8,1.5,
1988-07-12,8.6,5.2,0.05,0.06,7.85,,0.06,503,15.8,1.5,
1988-08-16,8.3,6.1,0.03,,7.85,,0.05,490,16,18,
1988-09-13,5.8,8.5,0.02,,7.6,,0.04,484,13.1,1.5,
1988-10-12,6.9,9,0.02,,7.3,,0.03,584,10.5,1.5,
1988-11-15,8.3,13,0.04,,7.85,,0.03,533,6.2,1.5,
1989-01-25,,,0.034,0.077,8.3,,0.061,560,,72,16
1989-04-19,9.7,,0.04,,8.2,,0.144,336,8.3,69,
1989-05-05,9,,0.11,,8.3,,0.105,543,13.7,14,
1989-05-16,8.9,,0.062,,8,,0.048,531,12.6,19,
1989-05-31,9.7,,,0.064,7.9,,0.097,544,11.7,16,
1989-06-14,8.6,,0.068,,7.8,,0.013,606,15.2,6,
1989-07-19,8.5,5,0.019,,7.8,,0.0025,597,13.1,1.5,
1989-08-17,6,10,0.0025,,7.7,,0.082,569,18.6,4,
1989-09-26,7.8,15,0.019,,7.7,,0.029,531,12,1.5,
1989-10-17,7.8,20,0.026,,8.2,,0.013,555,6,1.5,
1989-11-08,9.8,15,0.03,,8.2,,0.024,554,3.5,1.5,
1990-01-16,9.1,21.4,0.073,,8.4,,0.163,517,3.6,23,
1990-03-08,9.3,50,0.17,,8,,0.26,325,4.9,134,
1990-04-25,8.9,24,0.015,,8.2,,0.069,306,11.4,32,
1990-05-09,10.9,12,0.019,,7.9,,0.059,302,3.8,12,
1990-05-30,7.6,2.8,0.006,,8,,0.147,619,11.3,8,
1990-06-13,9.2,2.4,0.084,,8,,0.111,597,15.3,8,
1990-07-11,6.6,2,0.078,,7.9,,0.089,658,12.7,1.5,
1990-08-08,7,1.1,0.045,,8,0.068,0.079,598,12.2,1.5,
1990-09-12,8.9,2.9,0.144,,8,,,654,17.5,6,
1990-10-11,10.1,4,,,8.5,0.034,0.05,576,12.2,,
1990-11-07,9.7,3,,,8.1,0.04,,550,3.2,3,
1991-02-13,9,5.1,,,8.4,0.026,0.07,510,3.9,34,
1991-03-13,10,3.3,,,9.2,0.035,0.055,508,2.1,19,
1991-05-02,9.7,,,,7.9,0.049,0.066,476,9.1,13,
1991-05-16,,,,,,0.051,0.059,475,17.2,28,
1991-05-30,,,,,7,0.04,0.061,411,10.8,22,
1991-06-13,,,,,,0.005,0.06,507,17.6,1.5,
1991-07-15,10.6,,,,7.9,0.03,0.071,575,14.9,6,
1991-08-14,9.4,,,,7.7,0.032,0.051,551,14.4,8,
1991-09-18,8.5,,,,7.4,0.037,0.033,569,11.4,3,
1991-10-16,8.9,,,,7.4,0.01,0.027,535,8.3,1.5,
1991-11-19,8.5,,,,7.8,0.033,0.049,553,5.2,5,
1992-01-15,9.7,,,,7.3,0.041,0.076,498,4.4,17,
1992-03-16,9.2,8,,,7.6,0.026,0.063,507,7.2,20,
1992-04-16,8.5,8,,,7.4,0.056,0.112,614,13.6,12,
1992-04-27,9.1,8,,,7.4,0.041,0.07,500,13,8,
1992-05-11,10.2,6,,,7.9,0.039,0.051,466,12,6,
1992-05-27,9.6,8,,,7.9,0.028,0.044,506,14.4,14,
1992-06-10,8.9,5,,,7.7,0.029,0.042,494,14.1,8,
1992-07-13,7.6,6,,,7.6,0.038,0.056,545,13.1,5,
1992-08-14,8.4,1.1,,,7.3,0.021,0.043,492,16.1,9,
1992-09-11,6.9,2,,,7.3,0.035,0.05,523,13.1,1.5,
1992-10-14,9.2,3.3,,,7.3,0.04,0.04,551,9.5,1.5,
1992-11-17,10.2,5.8,,,7.7,0.024,0.032,553,6.7,1.5,
1993-02-09,10.9,9.6,,,8.1,0.042,0.063,566,4.2,12,
1993-03-17,9.5,25.2,,,8.1,0.093,0.162,608,5.3,38,
1993-04-14,10.5,35.8,,,8,0.023,0.026,415,6,8,
1993-05-04,9.8,120,,,8.3,0.066,0.319,290,7.6,405,
1993-05-11,9.3,65.3,,,7.9,0.031,0.066,330,7.4,32,
1993-05-18,8.6,161.2,,,7.9,0.026,0.123,197,11.7,84,
1993-06-01,8.6,37.5,,,8.1,0.02,0.084,272,13,22,
