Site_ID,Latitude,Longitude
MC01,40.33435162,-111.3794424
MC02,40.35728625,-111.3948344
MC03,40.36984173,-111.4035807
MC04,40.37931736,-111.4215497
MC05,40.38603544,-111.434706
MC06,40.39472365,-111.4455092
MC07,40.40185587,-111.4592674
MC08,40.40413263,-111.4654018
MC09,40.40630804,-111.4723613
MC10,40.40964399,-111.4784822
LHC01,40.34323148,-111.409888
LHC02,40.34765063,-111.40288
LHC03,40.36188729,-111.4079851
LHC04,40.37566981,-111.4246301
SC01,40.38636154,-111.4226303
SC03,40.38997124,-111.431683
SC04,40.39821153,-111.4380357
SC06,40.40197245,-111.4504958
SC07,40.40300304,-111.4590989
